# Delay in ms

delayNoClockSyn,delayClockSyn
15.00 ,
15.00 ,
15.00 ,
17.00 ,
17.00 ,
16.00 ,
15.00 ,
14.00 ,
18.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
19.00 ,
15.00 ,
15.00 ,
15.00 ,
18.00 ,
15.00 ,
17.00 ,
15.00 ,
15.00 ,
15.00 ,
18.00 ,
15.00 ,
18.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
18.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
19.00 ,
14.00 ,
15.00 ,
15.00 ,
15.00 ,
45.00 ,
14.00 ,
22.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
17.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
15.00 ,
18.00 ,
15.00 ,
15.00 ,
17.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
18.00 ,
15.00 ,
18.00 ,
15.00 ,
18.00 ,
29.00 ,
17.00 ,
15.00 ,
17.00 ,
16.00 ,
15.00 ,
15.00 ,
21.00 ,
17.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
18.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
18.00 ,
15.00 ,
15.00 ,
15.00 ,
31.00 ,
15.00 ,
16.00 ,
15.00 , 1
18.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
17.00 ,
17.00 ,
15.00 ,
15.00 ,
15.00 ,
18.00 ,
15.00 ,
17.00 ,
15.00 ,
15.00 ,
15.00 ,
14.00 ,
19.00 ,
38.00 ,
15.00 ,
17.00 ,
15.00 ,
18.00 ,
19.00 ,
15.00 ,
16.00 ,
15.00 ,
17.00 ,
15.00 ,
15.00 ,
15.00 ,
18.00 ,
15.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
18.00 ,
14.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
18.00 ,
15.00 ,
16.00 ,
15.00 ,
15.00 ,
15.00 ,
14.00 ,
19.00 ,
15.00 ,
15.00 ,
15.00 ,
17.00 ,
16.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
18.00 ,
15.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
14.00 ,
15.00 ,
17.00 ,
16.00 ,
15.00 ,
17.00 ,
14.00 ,
17.00 ,
15.00 ,
17.00 ,
15.00 ,
15.00 ,
15.00 ,
17.00 ,
14.00 ,
17.00 ,
15.00 ,
17.00 ,
15.00 ,
15.00 ,
15.00 ,
17.00 ,
15.00 ,
15.00 ,
16.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
17.00 ,
14.00 ,
15.00 ,
16.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
15.00 ,
16.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
16.00 ,
22.00 ,
15.00 ,
15.00 ,
17.00 ,
16.00 ,
15.00 ,
17.00 ,
15.00 ,
22.00 ,
15.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
15.00 ,
16.00 ,
14.00 ,
18.00 ,
18.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
18.00 ,
15.00 ,
17.00 ,
14.00 ,
17.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
16.00 ,
15.00 ,
14.00 ,
17.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
16.00 ,
15.00 ,
17.00 ,
15.00 ,
15.00 ,
15.00 ,
14.00 ,
15.00 ,
15.00 ,
15.00 ,
15.00 ,

, 14.00
, 16.00
, 15.00
, 17.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 15.00
, 16.00
, 15.00
, 15.00
, 15.00
, 18.00
, 14.00
, 15.00
, 15.00
, 16.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 16.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 18.00
, 18.00
, 15.00
, 15.00
, 15.00
, 16.00
, 14.00
, 18.00
, 15.00
, 17.00
, 15.00
, 15.00
, 14.00
, 15.00
, 16.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 17.00
, 18.00
, 17.00
, 15.00
, 20.00
, 20.00
, 15.00
, 15.00
, 17.00
, 17.00
, 15.00
, 17.00
, 15.00
, 15.00
, 14.00
, 15.00
, 14.00
, 15.00
, 15.00
, 18.00
, 14.00
, 15.00
, 18.00
, 14.00
, 15.00
, 15.00
, 15.00
, 15.00
, 17.00
, 14.00
, 17.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 18.00
, 15.00
, 17.00
, 15.00
, 15.00
, 15.00
, 19.00
, 18.00
, 22.00
, 19.00
, 15.00
, 18.00
, 15.00
, 16.00
, 15.00
, 16.00
, 15.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 18.00
, 14.00
, 15.00
, 15.00
, 14.00
, 15.00
, 16.00
, 14.00
, 18.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 16.00
, 17.00
, 18.00
, 15.00
, 15.00
, 15.00
, 18.00
, 17.00
, 18.00
, 18.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 18.00
, 15.00
, 17.00
, 14.00
, 14.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 44.00
, 15.00
, 14.00
, 14.00
, 15.00
, 15.00
, 15.00
, 15.00
, 18.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 15.00
, 18.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 26.00
, 15.00
, 14.00
, 15.00
, 15.00
, 16.00
, 18.00
, 15.00
, 14.00
, 17.00
, 37.00
, 15.00
, 17.00
, 16.00
, 15.00
, 15.00
, 15.00
, 17.00
, 15.00
, 15.00
, 38.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 84.00
, 15.00
, 14.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 16.00
, 15.00
, 17.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 14.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 17.00
, 18.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 17.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 23.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 17.00
, 15.00
, 14.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 14.00
, 15.00
, 16.00
, 16.00
, 15.00
, 15.00
, 17.00
, 15.00
, 18.00
, 15.00
, 18.00
, 19.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 18.00
, 15.00
, 21.00
, 15.00
, 14.00
, 15.00
, 17.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 27.00
, 14.00
, 127.00
, 38.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 17.00
, 36.00
, 15.00
, 41.00
, 15.00
, 14.00
, 132.00
, 79.00
, 15.00
, 14.00
, 15.00
, 34.00
, 15.00
, 14.00
, 15.00
, 15.00
, 36.00
, 15.00
, 14.00
, 17.00
, 15.00
, 38.00
, 15.00
, 15.00
, 15.00
, 17.00
, 15.00
, 14.00
, 15.00
, 15.00
, 19.00
, 72.00
, 15.00
, 14.00
, 15.00
, 18.00
, 17.00
, 14.00
, 15.00
, 18.00
, 15.00
, 40.00
, 18.00
, 15.00
, 15.00
, 15.00
, 18.00
, 15.00
, 17.00
, 14.00
, 15.00
, 15.00
, 17.00
, 18.00
, 17.00
, 18.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 14.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 15.00
, 18.00
, 16.00
, 17.00
, 15.00
, 15.00
, 15.00
, 15.00
, 15.00
, 17.00
, 15.00
, 15.00
, 15.00
, 15.00
, 16.00
, 15.00
, 17.00
, 15.00
, 15.00
, 15.00
, 17.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 14.00
, 18.00
, 15.00
, 14.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 15.00
, 19.00
, 14.00
, 15.00
, 15.00
, 14.00
, 15.00
, 15.00
, 87.00
, 124.00
, 39.00
, 15.00
, 15.00
, 15.00
, 18.00
, 15.00
, 17.00
, 15.00
, 15.00
, 14.00
, 18.00
, 15.00
, 16.00
, 15.00
, 14.00
, 29.00
, 15.00
, 15.00
, 14.00
, 17.00
, 15.00
, 15.00
, 17.00
, 15.00
, 23.00
, 15.00
, 16.00
, 15.00
, 20.00
, 15.00
